video_number,pillar,title,format,primary_visual,hook,cta
1,AI Trading Bot Build-In-Public,"I Built an AI Trading Bot, But I Am Not Letting It Trade Live Yet",Voiceover + screen recording,PMO dashboard and journal,"Most trading channels show wins. I am starting with why my bot is still locked.",Subscribe to follow the 200-trade paper test.
2,Paper Trading Results and Audits,My Trading Bot Found a Losing Pattern I Almost Missed,Voiceover + screen recording,Score band audit,"The highest scores were not the best trades. They were the danger zone.",Comment if you want the score-band breakdown.
3,Trading Psychology and Discipline,Why I Refused to Trade During FOMC,Voiceover + chart recording,Regime panel and market chart,"Sometimes the best trade is the one the system blocks.",Subscribe for discipline-based trading experiments.
4,Chart and Setup Breakdowns,The 9:30 AM Trading Mistake That Was Killing My Results,Voiceover + chart recording,Opening window audit,"The first 15 minutes looked exciting, but the data said it was a trap.",Comment your worst trading time window.
5,Trading Tools and Automation,The Trading Journal Every Beginner Should Build,AI voice + screen recording,CSV journal and simple spreadsheet,"If you are not tracking this, you are guessing.",Download or recreate the journal layout.
6,Crypto Paper Trading Track,My Crypto Paper Track Is Beating My Stock Track,Voiceover + screen recording,Crypto proof panel,"Stocks and crypto are not the same strategy. My data proves it.",Subscribe for the crypto follow-up.
7,AI Trading Bot Build-In-Public,How My Bot Decides Not To Trade,Voiceover + dashboard recording,Why-Not panel,"The most important engine in my bot is the one that says no.",Comment a ticker for a future Why-Not breakdown.
8,Paper Trading Results and Audits,Raw Results vs Clean Results: Why One Number Lied,Voiceover + screen recording,Proof diagnosis panel,"The raw win rate looked broken until I separated bad symbols from clean trades.",Subscribe for transparent trading audits.
9,Trading Psychology and Discipline,Why Chasing High Scores Can Destroy a Trading System,AI voice + chart visuals,Score ladder,"More confidence does not always mean more edge.",Comment if you have overtrusted an indicator.
10,Chart and Setup Breakdowns,RVOL Explained: The Volume Filter My Bot Watches,AI voice + chart recording,TradingView RVOL examples,"Volume alone is not enough. Relative volume changes the whole setup.",Subscribe for more indicator breakdowns.
11,AI Trading Bot Build-In-Public,Inside My PMO Bot Dashboard,Voiceover + screen recording,Orbital command deck,"This is the command center I use to watch the system without letting it trade live.",Ask for a dashboard panel walkthrough.
12,Paper Trading Results and Audits,My Bot Needs 200 Trades Before I Trust It,Voiceover + dashboard recording,Data collection counter,"A few good trades are not proof. This is why I am waiting for 200.",Subscribe to track the milestone.
13,Trading Tools and Automation,How To Build a Paper Trading Proof Gate,AI voice + simple diagrams,Proof gate checklist,"A real system needs gates before it gets money.",Comment if you want the checklist template.
14,Crypto Paper Trading Track,Why Crypto Needs Wider Stops Than Stocks,Voiceover + chart recording,Crypto profile examples,"Treating SOL like NVDA was the wrong idea.",Subscribe for crypto paper-trade results.
15,Chart and Setup Breakdowns,VWAP: Trend Filter or Trap Detector?,AI voice + chart recording,VWAP examples,"VWAP can confirm a trade or expose a chase.",Comment your favorite VWAP setup.
16,AI Trading Bot Build-In-Public,The Blocklist That Saved My Trading Bot,Voiceover + audit screen,Blocked symbol report,"A few symbols were poisoning the whole system.",Subscribe for the next audit.
17,Paper Trading Results and Audits,What Profit Factor Means and Why I Care More Than Win Rate,AI voice + charts,PF examples,"A high win rate can still lose money. Profit factor shows the truth.",Comment your target PF.
18,Trading Psychology and Discipline,The Hardest Part of Building a Bot Is Not Coding,Voiceover + dashboard recording,Live lock panel,"The hardest part is refusing to unlock it too early.",Subscribe for build-in-public updates.
19,Trading Tools and Automation,My Faceless Trading Content Setup,Voiceover + screen recording,OBS/CapCut/TradingView,"Here is how I record trading videos without showing my face.",Ask for the template.
20,Chart and Setup Breakdowns,Opening Range Breakout: Why Confirmation Matters,AI voice + chart recording,ORB examples,"The breakout is not the entry. Confirmation is the entry.",Subscribe for chart breakdowns.
21,AI Trading Bot Build-In-Public,My Bot Has 20 AI Engines, But They Are Not All Allowed To Trade,Voiceover + dashboard recording,AI constellation,"More engines do not mean more freedom. Most are observe-only.",Comment which engine to explain next.
22,Paper Trading Results and Audits,What I Learned From the First 100 Paper Submissions,Voiceover + dashboard recording,Paper proof reactor,"The first 100 submissions show whether the process is alive.",Subscribe for the 200-trade update.
23,Crypto Paper Trading Track,Bitcoin vs Solana vs Dogecoin: Which Fits a Bot Better?,AI voice + charts,Crypto watchlist,"Different coins need different behavior from a strategy.",Comment a crypto pair to review.
24,Trading Psychology and Discipline,Why No-Trade Days Are Part of the Edge,Voiceover + market recap,Market regime panel,"If the market is wrong for the system, sitting out is a win.",Subscribe for discipline content.
25,Trading Tools and Automation,How I Track Why Trades Are Blocked,Voiceover + screen recording,Why-Not black box,"Every blocked trade is data, not wasted time.",Comment if you want a blocked-trade report.
26,Chart and Setup Breakdowns,Score 65 to 74: The Band My Bot Actually Likes,Voiceover + audit recording,Score heatmap,"The middle scores performed better than the elite scores.",Subscribe for model rebuild updates.
27,AI Trading Bot Build-In-Public,Why My Bot Is Locked Even When Proof Looks Good,Voiceover + dashboard recording,Live readiness checklist,"Clean proof is not the same as live readiness.",Comment if you would unlock it or wait.
28,Paper Trading Results and Audits,My Bot's Biggest Data Integrity Problem So Far,Voiceover + screen recording,Journal reconciliation panel,"The broker and the journal did not agree, so I had to investigate.",Subscribe for transparent audits.
29,Trading Tools and Automation,How To Create a Trading Bot Safety Checklist,AI voice + checklist visual,Live readiness checklist,"Before a bot can trade, it needs a kill switch and proof gates.",Ask for the checklist file.
30,AI Trading Bot Build-In-Public,The 30-Day PMO Bot Recap: What Worked, What Failed, What Comes Next,Voiceover + screen recording,Dashboard montage,"Thirty videos in, here is what the data says.",Subscribe for the next phase.

